Rank,CPU,Cinebench23
1.,AMD Ryzen 9 7945HX,34357
2.,Intel Core i9-13950HX,32485
3.,Intel Core i9-13980HX,30647
4.,Intel Core i9-13900HX,27070
5.,Intel Core i7-13700HX,21144
6.,Intel Core i9-12950HX,21007
7.,Intel Core i7-12800HX,19686
8.,Intel Core i9-12900HX,19659
9.,Intel Core i9-13900H,19272
10.,Intel Core i7-12850HX,19174
11.,Intel Core i5-13500HX,18768
12.,AMD Ryzen 7 7745HX,18606
13.,Intel Core i7-13700H,18162
14.,Intel Core i9-12900HK,17166
15.,Intel Core i9-12900H,16894
16.,AMD Ryzen 7 7840HS,16853
17.,Intel Core i7-12700H,15486
18.,Intel Core i7-12800H,15411
19.,Apple M2 Max,14766
20.,Apple M2 Pro (12-core CPU),14765
21.,AMD  Ryzen 9 6900HS,14300
22.,Intel Core i7-13620H,14196
23.,AMD Ryzen 7 6800H,14193
24.,AMD Ryzen 9 6900HX,14111
25.,Intel Core i9-11980HK,13970
26.,AMD Ryzen 7 7735HS,13862
27.,Intel Core i5-12600H,13730
28.,AMD  Ryzen 7 6800HS,13514
29.,AMD Ryzen 9 5980HX,13450
30.,AMD Ryzen 9 5900HS,13179
31.,AMD Ryzen 9 5900HX,13081
32.,Intel Core i7-1280P,13075
33.,Intel Core i7-12650H,13001
34.,AMD Ryzen 7 PRO 6850H,12998
35.,AMD Ryzen 9 5980HS,12629
36.,AMD Ryzen 7 5800H,12472
37.,Intel Core i7-11800H,12390
38.,Apple M1 Max,12381
39.,Apple M1 Pro (10-core),12370
40.,Intel Core i5-12500H,12159
41.,Intel Core i9-11900H,12128
42.,Intel Core i7-11850H,12116
43.,Intel Core i9-11950H,12085
44.,AMD Ryzen 7 5800HS,12066
45.,Intel Core i7-1360P,11870
46.,AMD Ryzen 7 PRO 6860Z,11822
47.,AMD Ryzen 9 PRO 6950HS,11515
48.,Intel Xeon W-11955M,10800
49.,AMD Ryzen 7 6800U,10711
50.,Intel Core i9-10980HK,10600
51.,Intel Core i7-11600H,10548
52.,AMD Ryzen 7 5825U,10523
53.,Intel Xeon W-11855M,10500
54.,AMD Ryzen 7 PRO 6850U,10419
55.,AMD  Ryzen 5 6600H,10305
56.,Intel Core i7-1260P,9933
57.,AMD Ryzen 5 6600U,9807
58.,AMD Ryzen 5 6600HS,9767
59.,AMD Ryzen 7 5800U,9666
60.,AMD Ryzen 7 5850U,9634
61.,Intel Core i5-12450H,9525
62.,AMD Ryzen 5 5600H,9513
63.,Intel Core i5-1240P,9469
64.,Intel Core i9-10885H,9400
65.,Intel Core i7-1270P,9359
66.,Apple M1 Pro (8-core),9167
67.,Intel Core i5-11260H,9000
68.,Intel Core i7-10870H,8989
69.,AMD Ryzen 7 5700U,8919
70.,Intel Core i5-11500H,8853
71.,Apple M2 (10-core GPU),8739
72.,Intel Core i5-11400H,8649
73.,AMD Ryzen 5 4600H,8648
74.,Intel Core i7-1265U,8645
75.,Apple M2 (8-core GPU),8361
76.,Intel Core i5-10500H,8200
77.,Intel Core i5-1245U,8093
78.,AMD Ryzen 5 5625U,7983
79.,Intel Core i5-1235U,7916
80.,Intel Core i7-1255U,7885
81.,Intel Core i5-1335U,7779
82.,Apple M1,7735
83.,AMD Ryzen 5 5600U,7500
84.,Intel Core i5-1250P,7275
85.,Intel Core i7-10750H,7213
86.,AMD Ryzen 7 4700U,7138
87.,AMD Ryzen 5 5500U,7135
88.,AMD Ryzen 5 PRO 5675U,6897
89.,Intel Core i7-1250U,6875
90.,Intel Core i7-11370H,6570
91.,Intel Core i7-11375H,6544
92.,Intel Core i5-11300H,6055
93.,Intel Core i5-11320H,6050
94.,AMD Ryzen 3 5425U,5761
95.,Intel Core i7-11390H,5660
96.,Intel Core i7-1185G7,5524
97.,Intel Core i7-1195G7,5481
98.,AMD Ryzen 3 5300U,5296
99.,Intel Core i7-1165G7,5125
100.,Intel Core i5-1135G7,5002
101.,AMD Ryzen 3 7320U,4846
102.,Intel Core i5-1145G7,4769
103.,Intel Core i5-10300H,4666
104.,Intel Core i7-1160G7,4235
105.,Intel Core i3-1215U,4037
106.,Intel Core i7-1180G7,3697
107.,Snapdragon 8cx Gen 3,3676
108.,Intel Core i5-1035G1,3240
109.,Intel Core i3-1115G4,3056
110.,AMD Ryzen 5 3450U,2901
111.,Intel Core i5-10210U,2204
112.,Intel Core i3-1005G1,2015
113.,AMD Ryzen 3 3250U,1839
114.,Intel Pentium Silver N6000,1792
115.,Intel Pentium Silver N5030,1456
116.,Intel Celeron N4120,1259
117.,Intel Celeron N4500,977
118.,AMD 3020e,940
119.,Intel Celeron N4020,842
120.,Intel Celeron N5100,466
121.,Intel Celeron N3350,173
122.,AMD A4-9120e,166
