,Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive,Detail price,GPU,HDD/SSD,M.2 Slot,RAM,OS,Body Material,Dimensions,Weight,Features,Fingerprint reader,Web camera,Backlit keyboard,Microphone,Speakers,Optical drive,Gifts,Security Lock slot,MIL-STD-810G military certification
0,MSI Raider GE78,https://laptopmedia.com/laptop-specs/msi-raider-ge78-44/,Intel Core i9-13980HX,64GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 175W)","17.0”, QHD+ (2560 x 1600), 240 Hz, IPS",8000GB SSD,$725999,,$7259.99,"
NVIDIA GeForce RTX 4080 (Laptop, 175W) #2 in Top GPUs
",8TB SSD RAID 1," 1x 2280 M.2 PCIe 5.0 x4 + 1x 2280 M.2 PCIe 4.0 x4 
				  
				See photo
",64GB DDR5,Windows 11 Pro,"Plastic / Polycarbonate, Aluminum","380 x 298 x 23 mm (14.96"" x 11.73"" x 0.91"")",3.10 kg (6.8 lbs) ,Fingerprint reader,,FHD IR,,,"2x 2W Speakers + 4x 2W Woofers, Dynaudio, Nahimic 3",,Dockztorm USB Hub,,
1,HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4579/,Intel Core i7-1355U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$134900,,$1349.00,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",2TB SSD,,32GB DDR4,Windows 11 Home,,"358.90 x 229.10 x 18.54 mm (14.13"" x 9.02"" x 0.73"")",1.70 kg (3.7 lbs) ,Fingerprint reader,,"HD with camera shutter, temporal noise reduction",,Dual Array Digital Microphones,"2x Speakers, HP Audio Boost, Bang & Olufsen",,HP Rechargeable MPP2.0 Tilt Pen,,
2,Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3480/,Intel Core i5-1135G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$59999,,$599.99,"
Intel Iris Xe Graphics G7 (80EU) #116 in Top GPUs
",1TB SSD," 1x 2280 M.2 NVMe slot 
				  
				See photo
",12GB DDR4,Windows 10 Pro,"Plastic / Polycarbonate, Aluminum","328 x 223 x 17.9 mm (12.91"" x 8.78"" x 0.70"")",1.45 kg (3.2 lbs) ,Fingerprint reader,,HD,,,"2 Speakers, Acer TrueHarmony",,Dockztorm USB Hub,,
3,Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-566/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$103900,1000GB HDD,$1039.00,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",512GB SSD + 1TB HDD,,16GB DDR4,Windows 10 Pro,,"359.2 x 235.8 x 19.9 mm (14.14"" x 9.28"" x 0.78"")",1.70 kg (3.7 lbs) ,Fingerprint reader,,HD,,Dual-Array Microphone,"2x 1.5W, Dolby Audio",,Dockztorm USB Hub,Kensington Lock Slot,
4,Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3479/,AMD Ryzen 3 3350U,20GB RAM,"AMD Radeon RX Vega 6 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$68999,,$689.99,"
AMD Radeon RX Vega 6 (R2000/3000, 15W) #99 in Top GPUs
",512GB SSD,,20GB DDR4,Windows 10 Pro,,"363.22 x 251.46 x 18.03 mm (14.30"" x 9.90"" x 0.71"")",1.80 kg (4 lbs) ,Fingerprint reader,,,,,2 Stereo Speakers,,32GB USB 3.0 Flash Drive,,
5,Acer Predator Helios 300,https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1568/,Intel Core i7-12700H,24GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",1000GB SSD,$160900,,$1609.00,"
NVIDIA GeForce RTX 3060 (Laptop, 140W) #34 in Top GPUs
",1TB SSD," 2x 2280 PCIe NVMe 4.0 x4 
				  
				See photo
",24GB DDR5,Windows 11 Pro,Aluminum,"359.4 x 276.4 x 25.9 mm (14.15"" x 10.88"" x 1.02"")",2.50 kg (5.5 lbs) ,Fingerprint reader,,,,,Speakers by DTS X: Ultra Audio,,Protective Sleeve,Kensington Lock,
6,Lenovo ThinkPad Yoga 11e Gen 5,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-yoga-11e-gen-5-8/,Intel Pentium Silver N5030,8GB RAM,Intel UHD Graphics 605,"11.6”, HD (1366 x 768), IPS",256GB SSD,$41900,,$419.00,"
Intel UHD Graphics 605 #139 in Top GPUs
",256GB SSD,,8GB DDR4,Windows 11 Home,"Plastic / Polycarbonate, Glass Fiber","300 x 210 x 22.5 mm (11.81"" x 8.27"" x 0.89"")",1.54 kg (3.4 lbs) ,Fingerprint reader,,"HD 720p, low light sensitive, fixed focus",,monaural digital microphone,2x 2W,,HDMI Cable,,
7,LG Gram 17,https://laptopmedia.com/laptop-specs/lg-gram-17-220/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.0”, QHD+ (2560 x 1600), IPS",1000GB SSD,$214999,,$2149.99,"
Intel Iris Xe Graphics G7 (96EU) #108 in Top GPUs
",1TB SSD,,16GB LPDDR5,Windows 10 Pro,,"378.7 x 258.8 x 17.8 mm (14.91"" x 10.19"" x 0.70"")",1.35 kg (3 lbs) ,Fingerprint reader,,FullHD + IR,,Dual Microphones ,"2x 1.5W, DTS: X Ultra",,32GB USB Drive,,
8,ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-757/,AMD Ryzen 7 4800H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$139999,,$1399.99,"
NVIDIA GeForce RTX 3060 (Laptop, 130W) #35 in Top GPUs
",2TB SSD," 2x 2280 M.2 NVMe slots 
				  
				See photo
",32GB DDR4,Windows 11 Home,"Plastic / Polycarbonate, Aluminum","354.9 x 259.9 x 22.9 ~ 27.2  mm (13.97"" x 10.23"" x 0.90"")",2.30 kg (5.1 lbs) ,Fingerprint reader,,,,Array  Microphone,"2x 4W, Smart Amp",,Mouse Pad,,
9,ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-755/,AMD Ryzen 7 4800H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$164900,,$1649.00,"
NVIDIA GeForce RTX 3060 (Laptop, 130W) #35 in Top GPUs
",2TB SSD," 2x 2280 M.2 NVMe slots 
				  
				See photo
",64GB DDR4,Windows 10 Home,"Plastic / Polycarbonate, Aluminum","354.9 x 259.9 x 22.9 ~ 27.2  mm (13.97"" x 10.23"" x 0.90"")",2.30 kg (5.1 lbs) ,Fingerprint reader,,,,Array  Microphone,"2x 4W, Smart Amp",,32GB USB Drive,,
